group,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
cora,0,baseline,0.8784530386740331,0.8824141890737945,0.8698555278695166,0.8747412208305256,6.395517110824585,487440.0,180.0,1.8021767574963752e-06,,
cora,0,scheduled,0.8821362799263351,0.8881545722300194,0.8731787741793916,0.8798638548014971,4.798997640609741,326730.0,120.65361785888672,2.699893734662673e-06,0.7837398648262024,-0.3529706299304962
cora,1,baseline,0.8655616942909761,0.851372954268479,0.8501791133759775,0.8496016863574193,7.586665391921997,487440.0,180.0,1.7757297191264075e-06,,
cora,1,scheduled,0.8710865561694291,0.8685299014521625,0.847946212711021,0.8560455783003601,3.6397645473480225,326730.0,120.65361785888672,2.6660746064623057e-06,0.7722318768501282,-0.29626449942588806
cora,2,baseline,0.8839779005524862,0.8715470619085802,0.880233660807575,0.8754737587902793,2.6545143127441406,487440.0,180.0,1.8135112025120757e-06,,
cora,2,scheduled,0.8784530386740331,0.8780980951149502,0.8737139436713457,0.8745093630039388,2.067415475845337,326730.0,120.65361785888672,2.6886206919292173e-06,0.7898140549659729,-0.3570905327796936
cora,3,baseline,0.8913443830570903,0.8965023949378439,0.8761687612297369,0.8847487033928342,3.472262144088745,487440.0,180.0,1.8286237958663432e-06,,
cora,3,scheduled,0.8747697974217311,0.8852982276076728,0.8535653480766249,0.8660454798215793,2.070087432861328,326730.0,120.65361785888672,2.6773476491957613e-06,0.7809028625488281,-0.32274892926216125
cora,4,baseline,0.8802946593001841,0.8605325566568686,0.8682741724121962,0.8632624494524038,2.683203935623169,487440.0,180.0,1.805954905834942e-06,,
cora,4,scheduled,0.852670349907919,0.8381957031599667,0.828805252887895,0.833030590002236,2.087332010269165,326730.0,120.65361785888672,2.6097093927950263e-06,0.7676550149917603,-0.2718040347099304
cora,5,baseline,0.8839779005524862,0.8717381238532361,0.8767234243296248,0.8727569597855565,3.667877674102783,487440.0,180.0,1.8135112025120757e-06,,
cora,5,scheduled,0.8747697974217311,0.8664465627624731,0.8466145620549945,0.8546420351464025,2.094175100326538,326730.0,120.65361785888672,2.6773476491957613e-06,0.7852703928947449,-0.3304212987422943
cora,6,baseline,0.8674033149171271,0.8655377155182883,0.8660236695073078,0.8635312603562457,2.6999197006225586,487440.0,180.0,1.7795078674649742e-06,,
cora,6,scheduled,0.856353591160221,0.8690308308269282,0.8379217574578818,0.848078576778847,2.090026378631592,326730.0,120.65361785888672,2.6209824355284824e-06,0.7795591950416565,-0.3311929404735565
cora,7,baseline,0.8655616942909761,0.8687647193546729,0.8492659842987785,0.8548959664806377,3.4517953395843506,487440.0,180.0,1.7757297191264075e-06,,
cora,7,scheduled,0.8637200736648251,0.8633489514993629,0.8426560298776067,0.8491511387163561,2.327749013900757,326730.0,120.65361785888672,2.643528520995394e-06,0.7774396538734436,-0.30522963404655457
cora,8,baseline,0.8913443830570903,0.8777386189990726,0.8848870744801587,0.880420625742193,2.685015916824341,487440.0,180.0,1.8286237958663432e-06,,
cora,8,scheduled,0.8637200736648251,0.8596942936935158,0.8482443879958195,0.8525799521674037,2.0880322456359863,326730.0,120.65361785888672,2.643528520995394e-06,0.7818107604980469,-0.3585866093635559
cora,9,baseline,0.8876611418047882,0.8803938758346368,0.8757967980928686,0.8769965503659947,3.1833016872406006,487440.0,180.0,1.8210674991892093e-06,,
cora,9,scheduled,0.861878453038674,0.8483037663772918,0.8503725047193589,0.8480264258627527,2.579411268234253,326730.0,120.65361785888672,2.6378919996286662e-06,0.7856996059417725,-0.3356049060821533
cora,10,baseline,0.9079189686924494,0.8925412943876179,0.8986724115491802,0.8946729419403849,2.6520655155181885,487440.0,180.0,1.8626271309134445e-06,,
cora,10,scheduled,0.8913443830570903,0.8806248699921778,0.8730748190796123,0.8749036106040666,2.0632760524749756,326730.0,120.65361785888672,2.728076341496313e-06,0.7775750160217285,-0.3376847207546234
cora,11,baseline,0.852670349907919,0.8548665598107031,0.8379418868985482,0.8429210943418897,2.955749988555908,487440.0,180.0,1.7492826807564398e-06,,
cora,11,scheduled,0.8471454880294659,0.853907105821686,0.8251136129787814,0.837091290416876,2.819403886795044,326730.0,120.65361785888672,2.5927998286948425e-06,0.7767930626869202,-0.28868070244789124
cora,12,baseline,0.8821362799263351,0.8803952462747376,0.8799043372916248,0.8765352852032755,2.690865993499756,487440.0,180.0,1.8097330541735088e-06,,
cora,12,scheduled,0.8471454880294659,0.848379296005917,0.8210400947089408,0.8304922399092616,2.073530673980713,326730.0,120.65361785888672,2.5927998286948425e-06,0.7770935297012329,-0.298024982213974
cora,13,baseline,0.9023941068139963,0.8906944648785698,0.8880507441185683,0.88830002879338,2.671128988265991,487440.0,180.0,1.851292685897744e-06,,
cora,13,scheduled,0.8968692449355433,0.8805575206474495,0.872806454499553,0.8744813550894383,3.049300193786621,326730.0,120.65361785888672,2.7449859055964967e-06,0.7737485766410828,-0.30149221420288086
cora,14,baseline,0.8802946593001841,0.8678075080187023,0.8641755789171596,0.8651312834105197,2.7046871185302734,487440.0,180.0,1.805954905834942e-06,,
cora,14,scheduled,0.8655616942909761,0.8538242510354257,0.8415006049587898,0.8459133814892369,3.9852824211120605,326730.0,120.65361785888672,2.649165042362122e-06,0.78031325340271,-0.3364613652229309
cora,15,baseline,0.8747697974217311,0.8768542873263299,0.8644827192347307,0.8692717659843244,3.2306785583496094,487440.0,180.0,1.7946204608192416e-06,,
cora,15,scheduled,0.858195211786372,0.8707110548116186,0.8338519828073819,0.849239960627049,2.553685426712036,326730.0,120.65361785888672,2.62661895689521e-06,0.7799974679946899,-0.3316482603549957
cora,16,baseline,0.9079189686924494,0.9093212054301808,0.8887369327334234,0.8969811031248497,2.6912519931793213,487440.0,180.0,1.8626271309134445e-06,,
