group,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
cora,0,baseline,0.7918968692449355,0.7841153541055271,0.747626897569483,0.7556786420914045,28.55827045440674,487440.0,180.0,1.6246037855837344e-06,,
cora,0,scheduled,0.861878453038674,0.8669421441157813,0.8522248139287278,0.858702032548047,14.519275188446045,326730.0,120.65361785888672,2.6378919996286662e-06,0.5765705108642578,0.29363009333610535
cora,1,baseline,0.7182320441988951,0.7138434776431214,0.6671638683616036,0.6535038890924723,15.459160089492798,487440.0,180.0,1.4734778520410617e-06,,
cora,1,scheduled,0.848987108655617,0.8473756443457086,0.8337541620207125,0.8385948362708977,13.552584648132324,304946.0,112.60930633544922,2.7840572057204128e-06,0.5737121105194092,0.39581483602523804
cora,2,baseline,0.8416206261510129,0.8148657152519512,0.8151621117703549,0.8106465987129974,16.299882411956787,487440.0,180.0,1.7266137907250388e-06,,
cora,2,scheduled,0.8710865561694291,0.8581372053278492,0.8582946631649478,0.8580103659770619,15.700191736221313,326730.0,120.65361785888672,2.6660746064623057e-06,0.6102099418640137,0.21953915059566498
cora,3,baseline,0.8360957642725598,0.827326779519788,0.8011297235336686,0.8088158661074857,17.159305095672607,487440.0,180.0,1.7152793457093383e-06,,
cora,3,scheduled,0.861878453038674,0.8694945204695843,0.8398607095253438,0.8523126577008879,14.20846176147461,326730.0,120.65361785888672,2.6378919996286662e-06,0.6079427599906921,0.26905959844589233
cora,4,baseline,0.8084714548802947,0.8117744324257152,0.7297058114039271,0.7386898257169802,16.32844376564026,487440.0,180.0,1.658607120630836e-06,,
cora,4,scheduled,0.861878453038674,0.8506180256621733,0.8480607854799398,0.8489570253131594,15.243597745895386,326730.0,120.65361785888672,2.6378919996286662e-06,0.5949671864509583,0.31932520866394043
cora,5,baseline,0.8084714548802947,0.7838838139376664,0.7948179928719371,0.7859912886779016,15.574387311935425,487440.0,180.0,1.658607120630836e-06,,
cora,5,scheduled,0.8784530386740331,0.8592391048047713,0.8670020992707259,0.8601897280412567,15.243854284286499,326730.0,120.65361785888672,2.6886206919292173e-06,0.6701918244361877,0.048108477145433426
cora,6,baseline,0.7771639042357275,0.7449179262237184,0.7137241290791755,0.6958938884217558,16.06580877304077,487440.0,180.0,1.5943785988752e-06,,
cora,6,scheduled,0.850828729281768,0.8524853375385303,0.8435550158086317,0.8444974608658312,15.151874542236328,326730.0,120.65361785888672,2.6040728714282985e-06,0.6231844425201416,0.14347822964191437
cora,7,baseline,0.7569060773480663,0.7369707802143141,0.6822353550722458,0.6770248709553252,15.904819965362549,487440.0,180.0,1.5528189671509648e-06,,
cora,7,scheduled,0.858195211786372,0.8477662677946969,0.8523153948450501,0.8489023302534608,15.749630689620972,326730.0,120.65361785888672,2.62661895689521e-06,0.6154670715332031,0.24593152105808258
cora,8,baseline,0.8158379373848987,0.8107891634583009,0.7640461912873263,0.7772120243576909,15.827128648757935,487440.0,180.0,1.6737197139851033e-06,,
cora,8,scheduled,0.861878453038674,0.8492120406463207,0.8567307767654925,0.8501140700114932,14.572008848190308,310392.0,114.6203842163086,2.7767418394761272e-06,0.5815584659576416,0.3620680570602417
cora,9,baseline,0.7513812154696132,0.7663685704374238,0.7270256596882854,0.7361848917120062,15.264258861541748,487440.0,180.0,1.5414845221352643e-06,,
cora,9,scheduled,0.850828729281768,0.855016142759398,0.8239954796458606,0.8363070388794889,11.459142446517944,255932.0,94.50959777832031,3.324432776213088e-06,0.6146309971809387,0.24200649559497833
cora,10,baseline,0.8397790055248618,0.8576062910962985,0.7934183464579948,0.8191703041087331,15.222262382507324,487440.0,180.0,1.7228356423864719e-06,,
cora,10,scheduled,0.8692449355432781,0.8687697174970814,0.8482106589814488,0.8549657678719008,13.532713413238525,288608.0,106.5760726928711,3.011853224939288e-06,0.6124590039253235,0.16398805379867554
cora,11,baseline,0.7219152854511971,0.8062572280084161,0.6120569959735288,0.5732911897012999,15.62740421295166,487440.0,180.0,1.4810341487181953e-06,,
cora,11,scheduled,0.8453038674033149,0.8357157429038178,0.8244081760935692,0.8280235359852934,15.077619075775146,326730.0,120.65361785888672,2.5871633073281147e-06,0.6014784574508667,0.29336974024772644
cora,12,baseline,0.8176795580110497,0.8127823016826473,0.7913100702498632,0.7984214084819953,14.019126892089844,487440.0,180.0,1.67749786232367e-06,,
cora,12,scheduled,0.852670349907919,0.8587993231195331,0.835838354611676,0.8436364523585443,13.857624053955078,321284.0,118.64253997802734,2.6539458855962917e-06,0.6262591481208801,0.19554026424884796
cora,13,baseline,0.8324125230202578,0.838297299254731,0.8093538453439413,0.8165502665623086,15.563002347946167,487440.0,180.0,1.7077230490322047e-06,,
cora,13,scheduled,0.8839779005524862,0.8711713433083635,0.8710729678604059,0.8699101342997063,15.198774337768555,326730.0,120.65361785888672,2.7055302560294008e-06,0.5821849703788757,0.35806527733802795
cora,14,baseline,0.7476979742173112,0.7056186278260748,0.7235911719787695,0.7041746306733063,15.425613164901733,487440.0,180.0,1.5339282254581307e-06,,
cora,14,scheduled,0.8655616942909761,0.8410753712311234,0.8408543160409918,0.8395234121083358,14.865953207015991,326730.0,120.65361785888672,2.649165042362122e-06,0.5863540172576904,0.34445393085479736
cora,15,baseline,0.7937384898710865,0.7949044489081458,0.7698629874583081,0.7728024609104199,14.302916765213013,487440.0,180.0,1.6283819339223013e-06,,
cora,15,scheduled,0.860036832412523,0.8666018829082517,0.8489238348041942,0.8565478414148769,14.013563394546509,326730.0,120.65361785888672,2.632255478261938e-06,0.6031255125999451,0.2795630693435669
cora,16,baseline,0.7697974217311234,0.7171654447284048,0.6867101377207417,0.6821412052802943,14.662737369537354,487440.0,180.0,1.5792660055209328e-06,,
cora,16,scheduled,0.8692449355432781,0.8832046941401918,0.8392243299901825,0.8561303786329734,11.840882062911987,288608.0,106.5760726928711,3.011853224939288e-06,0.6293033361434937,0.19518709182739258
cora,17,baseline,0.7937384898710865,0.7944440944205963,0.7609963017576239,0.7699452501439803,14.549757719039917,487440.0,180.0,1.6283819339223013e-06,,
cora,17,scheduled,0.856353591160221,0.8581902689058171,0.8473677041295034,0.8513679938469977,12.435805559158325,283162.0,104.56499481201172,3.0242532231027504e-06,0.5618557333946228,0.39993295073509216
cora,18,baseline,0.8158379373848987,0.8033805716089085,0.7744528016129694,0.7838869119928088,14.337628841400146,487440.0,180.0,1.6737197139851033e-06,,
cora,18,scheduled,0.8434622467771639,0.8216315457498797,0.8318287015212353,0.8248882051298375,13.877273082733154,326730.0,120.65361785888672,2.5815267859613865e-06,0.5755816102027893,0.39388662576675415
cora,19,baseline,0.8011049723756906,0.788183456018178,0.7635467057311851,0.7668930348084971,14.31130838394165,487440.0,180.0,1.6434945272765685e-06,,
cora,19,scheduled,0.8747697974217311,0.8874455724564869,0.8557269646657574,0.8682288964257675,14.924926280975342,326730.0,120.65361785888672,2.6773476491957613e-06,0.6422722935676575,0.1396418809890747
cora,20,baseline,0.8379373848987108,0.8273307891663823,0.7974973323905965,0.7989299582689309,15.087597370147705,487440.0,180.0,1.719057494047905e-06,,
cora,20,scheduled,0.8729281767955801,0.8569758820618404,0.8604616471388628,0.8563891986030272,12.444610834121704,304946.0,112.60930633544922,2.8625664110877994e-06,0.6259689927101135,0.2058437466621399
cora,21,baseline,0.7605893186003683,0.6828822683945754,0.6920095825715556,0.6703200514872546,14.436136960983276,487440.0,180.0,1.5603752638280984e-06,,
cora,21,scheduled,0.850828729281768,0.8558870343154245,0.8390106853644592,0.8459779922709398,13.050203323364258,299500.0,110.59822845458984,2.8408304817421304e-06,0.6296764612197876,0.20563025772571564
cora,22,baseline,0.7587476979742173,0.6504353145708618,0.688109669323038,0.6622349870061142,15.327692031860352,487440.0,180.0,1.5565971154895315e-06,,
