size,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
small,0,baseline,1.0,1.0,1.0,1.0,0.3665189743041992,87300.0,291.0,1.145475372279496e-05,,
small,0,scheduled,1.0,1.0,1.0,1.0,0.2848954200744629,62970.0,209.89999389648438,1.588057805304113e-05,0.1926828771829605,0.25285568833351135
small,1,baseline,0.9833333333333333,0.9861111111111112,0.9824561403508771,0.9838987924094308,0.3628566265106201,90000.0,300.0,1.0925925925925925e-05,,
small,1,scheduled,0.95,0.9557894736842106,0.9473684210526315,0.9485306735306734,0.3106577396392822,62970.0,209.89999389648438,1.5086549150389073e-05,0.21043244004249573,0.19997334480285645
small,2,baseline,1.0,1.0,1.0,1.0,0.38138318061828613,90000.0,300.0,1.1111111111111112e-05,,
small,2,scheduled,0.9833333333333333,0.9791666666666666,0.9861111111111112,0.9821551132463967,0.34830379486083984,62970.0,209.89999389648438,1.5615901752157112e-05,0.17672577500343323,0.2942958176136017
small,3,baseline,1.0,1.0,1.0,1.0,0.4912550449371338,90000.0,300.0,1.1111111111111112e-05,,
small,3,scheduled,0.95,0.949667616334283,0.9565217391304347,0.9505903398926655,0.4475433826446533,62970.0,209.89999389648438,1.5086549150389073e-05,0.22781354188919067,0.09463625401258469
small,4,baseline,0.9833333333333333,0.9841269841269842,0.9848484848484849,0.9841179807146908,0.3483874797821045,81000.0,270.0,1.213991769547325e-05,,
small,4,scheduled,0.9833333333333333,0.9841269841269842,0.9848484848484849,0.9841179807146908,0.3152613639831543,62970.0,209.89999389648438,1.5615901752157112e-05,0.17295727133750916,0.34005680680274963
small,5,baseline,0.9833333333333333,0.9848484848484849,0.9841269841269842,0.9841179807146908,0.3988037109375,90000.0,300.0,1.0925925925925925e-05,,
small,5,scheduled,0.9666666666666667,0.9710144927536232,0.9682539682539683,0.9681818181818181,0.2924041748046875,62970.0,209.89999389648438,1.5351225451273094e-05,0.2123943418264389,0.18230557441711426
small,6,baseline,1.0,1.0,1.0,1.0,0.31566405296325684,76500.0,255.0,1.30718954248366e-05,,
small,6,scheduled,0.9666666666666667,0.9710144927536232,0.9607843137254902,0.9640151515151515,0.3223545551300049,62970.0,209.89999389648438,1.5351225451273094e-05,0.18466146290302277,0.28923264145851135
small,7,baseline,0.9833333333333333,0.9866666666666667,0.9803921568627452,0.9830962688105546,0.2812492847442627,63900.0,213.0,1.5388628064684403e-05,,
small,7,scheduled,1.0,1.0,1.0,1.0,0.29746150970458984,62970.0,209.89999389648438,1.588057805304113e-05,0.1599586457014084,0.39435452222824097
small,8,baseline,1.0,1.0,1.0,1.0,0.40453004837036133,90000.0,300.0,1.1111111111111112e-05,,
small,8,scheduled,0.95,0.9500000000000001,0.9565217391304347,0.9506533178503802,0.3054382801055908,62970.0,209.89999389648438,1.5086549150389073e-05,0.1881444901227951,0.25727686285972595
small,9,baseline,0.9833333333333333,0.9833333333333334,0.9848484848484849,0.9837010534684953,0.39995670318603516,90000.0,300.0,1.0925925925925925e-05,,
small,9,scheduled,0.9333333333333333,0.9365079365079364,0.934609250398724,0.9344018437041693,0.30156898498535156,62970.0,209.89999389648438,1.4821872849505055e-05,0.19546282291412354,0.25779780745506287
small,10,baseline,1.0,1.0,1.0,1.0,0.3860468864440918,90000.0,300.0,1.1111111111111112e-05,,
small,10,scheduled,1.0,1.0,1.0,1.0,0.30578088760375977,62970.0,209.89999389648438,1.588057805304113e-05,0.17740963399410248,0.3172008991241455
small,11,baseline,1.0,1.0,1.0,1.0,0.37788891792297363,90000.0,300.0,1.1111111111111112e-05,,
small,11,scheduled,0.9666666666666667,0.9696342305037957,0.9645191409897292,0.9666185666185667,0.3000519275665283,62970.0,209.89999389648438,1.5351225451273094e-05,0.17282727360725403,0.3512010872364044
small,12,baseline,1.0,1.0,1.0,1.0,0.37763094902038574,90000.0,300.0,1.1111111111111112e-05,,
small,12,scheduled,0.9333333333333333,0.9297924297924299,0.9228937728937728,0.9257522062400111,0.2830326557159424,62970.0,209.89999389648438,1.4821872849505055e-05,0.21697479486465454,0.17685002088546753
small,13,baseline,1.0,1.0,1.0,1.0,0.3606851100921631,90000.0,300.0,1.1111111111111112e-05,,
small,13,scheduled,0.9333333333333333,0.9356884057971014,0.9292929292929294,0.9297765617875057,0.29532480239868164,62970.0,209.89999389648438,1.4821872849505055e-05,0.2328893095254898,0.11097689718008041
small,14,baseline,1.0,1.0,1.0,1.0,0.3489663600921631,81900.0,273.0,1.221001221001221e-05,,
small,14,scheduled,0.9333333333333333,0.9410256410256411,0.9236326109391125,0.9287675765095119,0.3030374050140381,62970.0,209.89999389648438,1.4821872849505055e-05,0.1665956825017929,0.382546991109848
small,15,baseline,1.0,1.0,1.0,1.0,0.38917064666748047,90000.0,300.0,1.1111111111111112e-05,,
small,15,scheduled,1.0,1.0,1.0,1.0,0.2944190502166748,62970.0,209.89999389648438,1.588057805304113e-05,0.21867939829826355,0.1912858784198761
small,16,baseline,1.0,1.0,1.0,1.0,0.40680885314941406,90000.0,300.0,1.1111111111111112e-05,,
small,16,scheduled,0.9833333333333333,0.9855072463768115,0.9841269841269842,0.9844625112917796,0.2780025005340576,62970.0,209.89999389648438,1.5615901752157112e-05,0.18324938416481018,0.2883976101875305
small,17,baseline,0.9666666666666667,0.970959595959596,0.9638888888888889,0.9668649202530518,0.39505553245544434,90000.0,300.0,1.074074074074074e-05,,
small,17,scheduled,0.9,0.9031029357116314,0.8896825396825396,0.8943001443001443,0.45485806465148926,62970.0,209.89999389648438,1.4292520247737017e-05,0.20504282414913177,0.24003134667873383
small,18,baseline,1.0,1.0,1.0,1.0,0.5319607257843018,90000.0,300.0,1.1111111111111112e-05,,
small,18,scheduled,0.9333333333333333,0.9350705194358445,0.9327731092436974,0.9325660699062234,0.37785983085632324,62970.0,209.89999389648438,1.4821872849505055e-05,0.22888608276844025,0.14967136085033417
small,19,baseline,1.0,1.0,1.0,1.0,0.36797285079956055,90000.0,300.0,1.1111111111111112e-05,,
small,19,scheduled,0.9833333333333333,0.9803921568627452,0.9871794871794872,0.9833630421865717,0.31030988693237305,62970.0,209.89999389648438,1.5615901752157112e-05,0.19032321870326996,0.2721087634563446
small,20,baseline,1.0,1.0,1.0,1.0,0.3762202262878418,90000.0,300.0,1.1111111111111112e-05,,
small,20,scheduled,0.9666666666666667,0.9648148148148148,0.9688405797101449,0.9664021164021164,0.3482944965362549,62970.0,209.89999389648438,1.5351225451273094e-05,0.1820044368505478,0.28137126564979553
small,21,baseline,1.0,1.0,1.0,1.0,0.39411163330078125,90000.0,300.0,1.1111111111111112e-05,,
small,21,scheduled,0.95,0.9523809523809522,0.9500000000000001,0.9499358151476253,0.3042449951171875,62970.0,209.89999389648438,1.5086549150389073e-05,0.16738881170749664,0.3903544843196869
small,22,baseline,1.0,1.0,1.0,1.0,0.4114408493041992,90000.0,300.0,1.1111111111111112e-05,,
small,22,scheduled,1.0,1.0,1.0,1.0,0.3027172088623047,62970.0,209.89999389648438,1.588057805304113e-05,0.1619367003440857,0.4013667404651642
small,23,baseline,0.9833333333333333,0.9814814814814815,0.9866666666666667,0.9836734693877552,0.36670756340026855,90000.0,300.0,1.0925925925925925e-05,,
small,23,scheduled,0.9833333333333333,0.9814814814814815,0.9866666666666667,0.9836734693877552,0.3379061222076416,62970.0,209.89999389648438,1.5615901752157112e-05,0.18357877433300018,0.26939713954925537
small,24,baseline,1.0,1.0,1.0,1.0,0.37810301780700684,90000.0,300.0,1.1111111111111112e-05,,
small,24,scheduled,1.0,1.0,1.0,1.0,0.3041203022003174,62970.0,209.89999389648438,1.588057805304113e-05,0.1948961615562439,0.22026801109313965
small,25,baseline,1.0,1.0,1.0,1.0,0.42477846145629883,90000.0,300.0,1.1111111111111112e-05,,
small,25,scheduled,1.0,1.0,1.0,1.0,0.2916243076324463,62970.0,209.89999389648438,1.588057805304113e-05,0.23385702073574066,0.06846379488706589
small,26,baseline,1.0,1.0,1.0,1.0,0.38507580757141113,90000.0,300.0,1.1111111111111112e-05,,
small,26,scheduled,0.9666666666666667,0.9710144927536232,0.9666666666666667,0.967304625199362,0.30256032943725586,62970.0,209.89999389648438,1.5351225451273094e-05,0.21268336474895477,0.1712617427110672
small,27,baseline,1.0,1.0,1.0,1.0,0.41680240631103516,90000.0,300.0,1.1111111111111112e-05,,
small,27,scheduled,0.9833333333333333,0.9876543209876543,0.9814814814814815,0.9841868823000898,0.3135061264038086,62970.0,209.89999389648438,1.5615901752157112e-05,0.18796394765377045,0.26080840826034546
small,28,baseline,1.0,1.0,1.0,1.0,0.33303189277648926,73800.0,246.0,1.3550135501355014e-05,,
small,28,scheduled,1.0,1.0,1.0,1.0,0.3244471549987793,62970.0,209.89999389648438,1.588057805304113e-05,0.15602055191993713,0.479098916053772
small,29,baseline,1.0,1.0,1.0,1.0,0.387775182723999,90000.0,300.0,1.1111111111111112e-05,,
small,29,scheduled,1.0,1.0,1.0,1.0,0.2960660457611084,62970.0,209.89999389648438,1.588057805304113e-05,0.163943812251091,0.363818496465683
small,30,baseline,0.9833333333333333,0.9824561403508771,0.9861111111111112,0.9838987924094308,0.3775951862335205,90000.0,300.0,1.0925925925925925e-05,,
small,30,scheduled,0.95,0.9491228070175438,0.9583333333333334,0.951224909119646,0.31175732612609863,62970.0,209.89999389648438,1.5086549150389073e-05,0.22050164639949799,0.09993220865726471
small,31,baseline,1.0,1.0,1.0,1.0,0.37830471992492676,90000.0,300.0,1.1111111111111112e-05,,
