size,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
large,0,baseline,0.74625,0.7491656955681053,0.7482816667599277,0.7460067939743161,2.0495495796203613,720000.0,180.0,1.0364583333333332e-06,,
large,0,scheduled,0.5975,0.6005108556832695,0.5990298598994251,0.5972320769048349,1.2108585834503174,481770.0,120.44249725341797,1.2402183614587874e-06,0.5763142108917236,-1.7897464036941528
large,1,baseline,0.645,0.6457163011166104,0.6440943663497395,0.6404336454694942,2.104579210281372,720000.0,180.0,8.958333333333334e-07,,
large,1,scheduled,0.555,0.5547580143168379,0.5550725922049715,0.5532877354138509,0.845954179763794,481770.0,120.44249725341797,1.1520019926520955e-06,0.5874922871589661,-1.9387767314910889
large,2,baseline,0.73875,0.7444667869981498,0.7439495033431783,0.7380981103438969,2.090017557144165,720000.0,180.0,1.0260416666666668e-06,,
large,2,scheduled,0.625,0.6268546251068545,0.6285228249176366,0.6250127692329448,0.8627316951751709,481770.0,120.44249725341797,1.2972995412748823e-06,0.5744670629501343,-1.913109540939331
large,3,baseline,0.66875,0.675056317938124,0.670444249312459,0.6679491272347482,2.2467145919799805,720000.0,180.0,9.288194444444444e-07,,
large,3,scheduled,0.53125,0.5310942460085091,0.5312384822817339,0.5310552742319189,0.9909534454345703,481770.0,120.44249725341797,1.1027046100836498e-06,0.5944869518280029,-2.0991196632385254
large,4,baseline,0.73875,0.7456875671608838,0.7383365821962314,0.7388394421761979,1.8725829124450684,720000.0,180.0,1.0260416666666668e-06,,
large,4,scheduled,0.575,0.5756178005455242,0.5750251048496663,0.5752243619428948,0.8727254867553711,481770.0,120.44249725341797,1.1935155779728916e-06,0.565870463848114,-1.723429560661316
large,5,baseline,0.7425,0.7416126287436575,0.7410862393640323,0.7409908670545291,1.976973533630371,720000.0,180.0,1.03125e-06,,
large,5,scheduled,0.6075,0.6067553314477023,0.6067337469882763,0.6067430915029104,0.8851604461669922,481770.0,120.44249725341797,1.2609751541191855e-06,0.5774370431900024,-1.883143424987793
large,6,baseline,0.72875,0.7305804874333673,0.7294037023801421,0.7299078770953221,2.3404972553253174,720000.0,180.0,1.0121527777777778e-06,,
large,6,scheduled,0.595,0.5990306011199735,0.5993694055884555,0.5945370805424129,0.8988468647003174,481770.0,120.44249725341797,1.2350291632936878e-06,0.5829340815544128,-1.9823533296585083
large,7,baseline,0.7225,0.7226367605640233,0.7220434125415885,0.7206188775725714,1.9957447052001953,720000.0,180.0,1.0034722222222223e-06,,
large,7,scheduled,0.5825,0.5860805424266976,0.5825693283342622,0.582533431239531,0.9061040878295898,481770.0,120.44249725341797,1.2090831724681902e-06,0.5758076310157776,-1.8337602615356445
large,8,baseline,0.695,0.6967218850592262,0.6967312880124269,0.6951853382977681,1.923452615737915,720000.0,180.0,9.652777777777777e-07,,
large,8,scheduled,0.55375,0.5533507684164055,0.5547769661648664,0.5530012232571616,0.8497121334075928,481770.0,120.44249725341797,1.1494073935695456e-06,0.584325909614563,-2.068424701690674
large,9,baseline,0.70625,0.7049736290281721,0.7030813633463912,0.7019554040308579,2.389014482498169,720000.0,180.0,9.809027777777779e-07,,
large,9,scheduled,0.59,0.5891402867965367,0.5890900502961189,0.5890065439148503,0.8512277603149414,481770.0,120.44249725341797,1.2246507669634888e-06,0.585034966468811,-1.8048282861709595
