size,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
small,40,baseline,1.0,1.0,1.0,1.0,0.37691330909729004,87300.0,291.0,1.145475372279496e-05,,
small,40,scheduled,0.9333333333333333,0.9305555555555555,0.9382456140350878,0.932956966570412,0.325641393661499,62970.0,209.89999389648438,1.4821872849505055e-05,0.2058609426021576,0.17580534517765045
small,41,baseline,1.0,1.0,1.0,1.0,0.3748300075531006,90000.0,300.0,1.1111111111111112e-05,,
small,41,scheduled,0.9833333333333333,0.9824561403508771,0.9866666666666667,0.9841882699025556,0.3034031391143799,62970.0,209.89999389648438,1.5615901752157112e-05,0.18653099238872528,0.28714805841445923
small,42,baseline,1.0,1.0,1.0,1.0,0.38918352127075195,90000.0,300.0,1.1111111111111112e-05,,
small,42,scheduled,0.9833333333333333,0.9814814814814815,0.9871794871794872,0.9839402427637722,0.30590033531188965,62970.0,209.89999389648438,1.5615901752157112e-05,0.19405138492584229,0.2379527986049652
small,43,baseline,0.9833333333333333,0.9841269841269842,0.9848484848484849,0.9841179807146908,0.3939487934112549,87300.0,291.0,1.1263841160748377e-05,,
small,43,scheduled,0.9666666666666667,0.9696969696969697,0.9696969696969697,0.9682539682539683,0.35262513160705566,62970.0,209.89999389648438,1.5351225451273094e-05,0.16620022058486938,0.3820266127586365
small,44,baseline,0.9833333333333333,0.9861111111111112,0.9814814814814815,0.9833839918946302,0.2951226234436035,74700.0,249.0,1.3163766175814368e-05,,
small,44,scheduled,0.8333333333333334,0.8355555555555555,0.8248156623442665,0.8250000000000001,0.3523848056793213,62970.0,209.89999389648438,1.3233815044200944e-05,0.2206149846315384,0.14317548274993896
small,45,baseline,0.9833333333333333,0.9861111111111112,0.9855072463768115,0.9855003940110323,0.3644893169403076,90000.0,300.0,1.0925925925925925e-05,,
small,45,scheduled,0.9833333333333333,0.9861111111111112,0.9855072463768115,0.9855003940110323,0.39295291900634766,62970.0,209.89999389648438,1.5615901752157112e-05,0.21456395089626312,0.19306571781635284
small,46,baseline,1.0,1.0,1.0,1.0,0.5149743556976318,90000.0,300.0,1.1111111111111112e-05,,
small,46,scheduled,0.9833333333333333,0.9833333333333334,0.9861111111111112,0.9843607928714312,0.46947789192199707,62970.0,209.89999389648438,1.5615901752157112e-05,0.21880987286567688,0.1395081728696823
small,47,baseline,1.0,1.0,1.0,1.0,0.40609145164489746,90000.0,300.0,1.1111111111111112e-05,,
small,47,scheduled,0.9,0.8988897364183406,0.9036377708978328,0.9008798592225244,0.3350811004638672,62970.0,209.89999389648438,1.4292520247737017e-05,0.20855753123760223,0.18180795013904572
small,48,baseline,0.9833333333333333,0.9861111111111112,0.9833333333333334,0.9843607928714312,0.3571281433105469,83700.0,279.0,1.1748307447232178e-05,,
small,48,scheduled,0.95,0.9531024531024531,0.9543478260869565,0.9533875338753388,0.29718542098999023,62970.0,209.89999389648438,1.5086549150389073e-05,0.2177826166152954,0.15344080328941345
small,49,baseline,1.0,1.0,1.0,1.0,0.38919973373413086,90000.0,300.0,1.1111111111111112e-05,,
small,49,scheduled,0.9833333333333333,0.9861111111111112,0.9814814814814815,0.9833839918946302,0.32043004035949707,62970.0,209.89999389648438,1.5615901752157112e-05,0.25256308913230896,-0.04237810894846916
