dataset,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
citeseer,30,baseline,0.7571644042232277,0.7486338160950078,0.7090784549966481,0.7124668058001277,3.3532981872558594,337824.0,102.0,2.24129844008486e-06,,
citeseer,30,scheduled,0.7285067873303167,0.7101742769407485,0.7185462810127677,0.7109165535217118,3.335233211517334,399210.0,120.534423828125,1.8248710887260256e-06,0.4647120535373688,1.0430684089660645
citeseer,31,baseline,0.7481146304675717,0.7126495511085381,0.6842941687437599,0.681929852899252,3.0707342624664307,367632.0,111.0,2.034955146634601e-06,,
citeseer,31,scheduled,0.726998491704374,0.6997026527631363,0.700028500980529,0.6992946000254049,3.7705140113830566,399210.0,120.534423828125,1.8210928877141705e-06,0.4681589603424072,1.0283957719802856
citeseer,32,baseline,0.7662141779788839,0.7831868186367473,0.7204469263625756,0.7143216564514893,2.2213408946990967,327888.0,99.0,2.3368167727360683e-06,,
citeseer,32,scheduled,0.7435897435897436,0.7226298863604993,0.7164197339225087,0.7177791167326371,2.7244086265563965,399210.0,120.534423828125,1.862653098844577e-06,0.4575655162334442,1.060009479522705
citeseer,33,baseline,0.7481146304675717,0.743995645796519,0.7090744474634562,0.708032157994476,3.2078280448913574,357696.0,108.0,2.091481678485562e-06,,
citeseer,33,scheduled,0.7345399698340875,0.7341535591549272,0.7168765519681468,0.7219629215902029,2.7149605751037598,399210.0,120.534423828125,1.8399838927734463e-06,0.46746373176574707,1.0202842950820923
citeseer,34,baseline,0.7390648567119156,0.6980215812852596,0.6794378805738345,0.6774163474541134,2.6308655738830566,357696.0,108.0,2.0661814968909787e-06,,
citeseer,34,scheduled,0.693815987933635,0.6569227942907188,0.6546253136813901,0.6554397666657422,3.8838911056518555,399210.0,120.534423828125,1.7379724654533577e-06,0.4450460374355316,1.1546796560287476
citeseer,35,baseline,0.7345399698340875,0.6897486640637326,0.6675897867414976,0.6554842548065923,2.5035240650177,367632.0,111.0,1.998030557280344e-06,,
citeseer,35,scheduled,0.7164404223227753,0.6747475288866229,0.6730357227652614,0.6734242353026856,2.562878131866455,399210.0,120.534423828125,1.7946454806311848e-06,0.4630970358848572,1.0525486469268799
citeseer,36,baseline,0.7631975867269984,0.7240742075300899,0.7097476213832086,0.7117561397730263,2.726470947265625,327888.0,99.0,2.327616706701674e-06,,
citeseer,36,scheduled,0.7058823529411765,0.6775044766403634,0.6778097970263111,0.6750753328311244,2.736213445663452,399210.0,120.534423828125,1.768198073548199e-06,0.4568744897842407,1.0866912603378296
citeseer,37,baseline,0.7315233785822021,0.7201241192428044,0.67027957365572,0.6606013302925332,4.159342288970947,397440.0,120.0,1.8405882110059431e-06,,
citeseer,37,scheduled,0.7088989441930619,0.687002081887578,0.6790852786848799,0.681585923027078,3.1363821029663086,399210.0,120.534423828125,1.7757544755719092e-06,0.4607412815093994,1.042803168296814
citeseer,38,baseline,0.7662141779788839,0.7201741970661634,0.6986772270932479,0.7027688908170081,2.5736143589019775,367632.0,111.0,2.084187932440277e-06,,
citeseer,38,scheduled,0.7194570135746606,0.6850409999261086,0.6848481167602251,0.6825809136276378,3.9630582332611084,399210.0,120.534423828125,1.802201882654895e-06,0.4664081931114197,1.0334892272949219
citeseer,39,baseline,0.7526395173453997,0.7055030376564412,0.697413741979268,0.6902488177017405,3.0177791118621826,367632.0,111.0,2.04726334308602e-06,,
citeseer,39,scheduled,0.7164404223227753,0.6768994774713627,0.6800256255648122,0.6776211274184248,2.930828332901001,399210.0,120.534423828125,1.7946454806311848e-06,0.46204808354377747,1.0631129741668701
